377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
516.19, 111.38
509.99, 156.90
503.84, 201.99
497.80, 246.63
491.88, 290.84
486.07, 334.68
476.13, 106.63
470.01, 152.54
463.98, 197.96
458.07, 242.89
452.29, 287.40
446.62, 331.54
435.50, 101.81
429.52, 148.10
423.63, 193.85
417.87, 239.08
412.23, 283.88
406.69, 328.34
394.33, 96.88
388.53, 143.54
382.82, 189.64
377.21, 235.19
371.70, 280.31
366.27, 325.08
352.60, 91.80
346.98, 138.84
341.46, 185.30
336.02, 231.21
330.64, 276.68
325.30, 321.80
310.25, 86.57
304.82, 133.97
299.47, 180.82
294.18, 227.13
288.93, 272.98
283.71, 318.47
267.27, 81.21
261.98, 128.96
256.79, 176.21
251.65, 222.94
246.54, 269.20
241.47, 315.06
223.69, 75.79
218.50, 123.87
213.43, 171.50
208.43, 218.63
203.49, 265.30
198.62, 311.52
179.65, 70.40
174.52, 118.76
169.54, 166.72
164.69, 214.24
159.94, 261.28
155.32, 307.83
